method,dataset,split,category,arm,eval_mode,metric,auroc,aupr,fpr95,n_eval,drift_delay,seed,timestamp
diversify,TSB-U-DRIFT_090_SEG_18179_093_WSD_id_65_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.75,0.7958,0.6667,12,,42,2026-08-24T22:33:19
diversify,TSB-U-DRIFT_091_SEG_149156_272_IOPS_id_13_WebService_t,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.4913,0.5726,1.0,34,,42,2026-08-24T22:33:22
diversify,TSB-U-DRIFT_091_SEG_149156_272_IOPS_id_13_WebService_t,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.2907,0.4457,1.0,34,,42,2026-08-24T22:33:22
diversify,TSB-U-DRIFT_092_SEG_23703_205_SMD_id_28_Facility_tr_59,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.3281,0.5092,1.0,16,,42,2026-08-24T22:33:29
diversify,TSB-U-DRIFT_092_SEG_23703_205_SMD_id_28_Facility_tr_59,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.5781,0.6743,0.75,16,,42,2026-08-24T22:33:29
diversify,TSB-U-DRIFT_094_SEG_18197_068_WSD_id_40_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.5124,0.4863,0.6364,22,,42,2026-08-24T22:33:35
diversify,TSB-U-DRIFT_094_SEG_18197_068_WSD_id_40_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.5537,0.5094,0.6364,22,,42,2026-08-24T22:33:35
diversify,TSB-U-DRIFT_096_SEG_18236_067_WSD_id_39_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.7292,0.667,0.75,24,,42,2026-08-24T22:33:41
diversify,TSB-U-DRIFT_096_SEG_18236_067_WSD_id_39_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.3403,0.4169,0.9167,24,,42,2026-08-24T22:33:41
diversify,TSB-U-DRIFT_097_SEG_18380_105_WSD_id_77_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.1944,0.3884,1.0,24,,42,2026-08-24T22:33:44
diversify,TSB-U-DRIFT_097_SEG_18380_105_WSD_id_77_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.375,0.4749,0.9167,24,,42,2026-08-24T22:33:44
diversify,TSB-U-DRIFT_099_SEG_5000_294_TODS_id_8_Synthetic_tr_50,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,,,,24,,42,2026-08-24T22:33:45
diversify,TSB-U-DRIFT_099_SEG_5000_294_TODS_id_8_Synthetic_tr_50,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,,,,24,,42,2026-08-24T22:33:45
diversify,TSB-U-OOD_001_SEG_18236_118_WSD_id_90_WebService_tr_45,U,OOD,energy,per_sample_selftrain,per_sample_auroc,0.216,0.4022,1.0,50,,42,2026-08-24T22:33:49
diversify,TSB-U-OOD_001_SEG_18236_118_WSD_id_90_WebService_tr_45,U,OOD,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.7456,0.7725,0.76,50,,42,2026-08-24T22:33:49
diversify,TSB-U-OOD_002_SEG_4031_024_NAB_id_24_Synthetic_tr_1007,U,OOD,energy,per_sample_selftrain,per_sample_auroc,0.2959,0.3994,0.9231,26,,42,2026-08-24T22:33:50
